"","ID","LineID","PriFault","SecFault","FmCode","FmName","UpFmCode","UpFmName","FaultSense","DipDir","HW_VOffset","Comment","Author","Year","Title","Source","RefPg","ErrRange","PubScale"
"4",12,13,"thickness change","(none)",6120,"DEBOLT FM",5560,"BELLOY FM","normal",350,NA,"Projects into fault 7 and may be kinematically related","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","435","< 1 km","1:476,000"
"5",12,11,"thickness change","(none)",6120,"DEBOLT FM",5560,"BELLOY FM","normal",350,NA,"check logs","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","435","< 1 km","1:476,000"
"6",12,9,"thickness change","(none)",6120,"DEBOLT FM",5560,"BELLOY FM","normal",350,NA,"check logs","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","435","< 1 km","1:476,000"
"11",12,8,"thickness change","(none)",6120,"DEBOLT FM",5560,"BELLOY FM","normal",260,NA,"Fault at western end of Hines Creek graben; isopach map for Fernie suggest its continuation 200 km southeasterly; same bearing as the trace of the disturbed belt edge - may have been reactivated as normal fault during tectonic loading of the foreland","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","435","< 1 km","1:476,000"
"12",12,10,"thickness change","(none)",6120,"DEBOLT FM",5560,"BELLOY FM","normal",70,NA,"May be kinematically liked to fault 2","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","435","< 1 km","1:476,000"
"13",12,12,"thickness change","(none)",6120,"DEBOLT FM",5560,"BELLOY FM","normal",70,NA,"check logs","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","435","< 1 km","1:476,000"
"14",14,29,"thickness change","(none)",2500,"UPPER MANNVILLE FM",NA,NA,"normal",160,NA,"Northern ramp of the Upper Manvile depositional center","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","435","< 1 km","1:476,000"
"15",14,30,"thickness change","(none)",2500,"UPPER MANNVILLE FM",NA,NA,"normal",330,NA,"Southern ramp of Upper Mannville trough","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","435","< 1 km","1:476,000"
"27",33,61,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",25810,"CENOMANIAN","normal",350,NA,"Gordondale fault, curved, overlaps the southern part of Fort St John Graben, not shown by isopachs, may be 2 faults; Cenomanian activity from Kiernan, J. P. (1996)","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"28",33,42,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",25810,"CENOMANIAN","unknown",45,NA,"Dunvegan fault, southeasterly continuation of fault 41; Cenomanian activity from Kiernan, J. P. (1996)","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
